Label,Date,JUC1MTR,JUC2MTR,JCCCMTR,JUC0MTR,JUC1OAS,JUC2OAS,JCCCOAS,JUC0OAS,JUC1MV,JUC2MV,JCCCMV,JUC0MV,JUC1MV%,JUC2MV%,JCCCMV%
1,12/31/96,N/A,N/A,N/A,N/A,186,332,848,277,"85,117","84,638","4,850","176,575",48%,48%,3%
2,1/31/97,0.71%,0.85%,0.81%,0.75%,182,324,803,277,"81,131","83,787","5,839","172,539",47%,49%,3%
3,2/28/97,1.11%,1.57%,4.25%,1.39%,161,283,687,248,"81,534","88,052","7,834","178,447",46%,49%,4%
4,3/31/97,-0.95%,-1.33%,0.70%,-1.05%,159,296,760,253,"82,867","87,276","9,521","180,050",46%,48%,5%
5,4/30/97,1.15%,1.07%,-0.89%,1.08%,171,316,789,267,"88,456","83,953","9,443","182,225",49%,46%,5%
6,5/31/97,1.69%,2.50%,2.43%,2.10%,158,276,706,241,"87,386","84,073","10,097","181,966",48%,46%,6%
7,6/30/97,1.56%,1.40%,1.60%,1.48%,154,273,726,240,"85,492","84,852","10,637","181,413",47%,47%,6%
8,7/31/97,2.70%,2.06%,-0.29%,2.29%,165,293,757,247,"90,170","86,077","9,079","186,088",48%,46%,5%
9,8/31/97,-0.52%,0.31%,0.35%,-0.11%,151,276,742,231,"87,847","82,918","8,541","180,425",49%,46%,5%
10,9/30/97,1.58%,1.41%,4.82%,1.61%,158,281,596,233,"89,201","83,739","8,750","182,837",49%,46%,5%
11,10/31/97,0.79%,0.19%,0.67%,0.59%,185,312,813,270,"90,151","86,404","9,038","186,559",48%,46%,5%
12,11/30/97,0.75%,1.09%,2.03%,0.94%,175,294,800,260,"92,118","88,180","10,457","191,179",48%,46%,5%
13,12/31/97,0.96%,0.88%,0.06%,0.89%,186,296,776,268,"94,543","88,857","11,167","194,881",49%,46%,6%
14,1/31/98,1.12%,1.66%,2.43%,1.50%,186,310,784,275,"94,779","95,295","11,364","201,943",47%,47%,6%
15,2/28/98,0.09%,0.80%,-1.38%,0.40%,183,286,799,258,"101,565","95,962","11,807","209,589",48%,46%,6%
16,3/31/98,0.68%,0.92%,1.99%,0.88%,180,282,733,253,"105,070","97,292","12,495","215,181",49%,45%,6%
17,4/30/98,0.56%,0.24%,0.69%,0.46%,184,287,715,262,"94,652","99,630","11,853","206,496",46%,48%,6%
18,5/31/98,1.07%,0.54%,-0.40%,0.72%,184,300,711,276,"84,843","101,728","11,732","198,827",43%,51%,6%
19,6/30/98,0.72%,0.37%,-0.90%,0.48%,196,323,656,295,"87,040","100,789","12,527","201,118",43%,50%,6%
20,7/31/98,0.55%,0.61%,0.19%,0.57%,208,326,670,299,"89,444","102,060","13,778","205,967",43%,50%,7%
21,8/31/98,-2.34%,-5.34%,-9.84%,-4.34%,311,539,1008,469,"87,351","98,870","12,907","199,515",44%,50%,6%
22,9/30/98,1.69%,-0.49%,-4.84%,0.17%,347,637,1178,542,"91,260","98,670","13,084","203,797",45%,48%,6%
23,10/31/98,-1.45%,-1.79%,-2.54%,-1.67%,376,680,1351,592,"86,645","96,639","13,762","197,714",44%,49%,7%
24,11/30/98,2.63%,5.87%,7.01%,4.58%,326,537,1333,495,"88,655","103,493","14,532","207,017",43%,50%,7%
25,12/31/98,0.62%,-0.41%,-0.77%,0.04%,328,555,1256,509,"85,640","101,121","15,020","202,679",42%,50%,7%
26,1/31/99,0.56%,0.91%,3.13%,1.00%,322,549,1229,506,"83,277","101,818","15,296","201,438",41%,51%,8%
27,2/28/99,-0.58%,-0.69%,-1.39%,-0.77%,286,494,1287,466,"84,671","100,611","16,761","203,033",42%,50%,8%
28,3/31/99,1.11%,0.83%,-1.43%,0.85%,286,465,1291,466,"85,666","102,024","17,787","206,380",42%,49%,9%
29,4/30/99,1.18%,1.52%,4.86%,1.57%,272,442,1172,439,"89,044","100,240","18,105","208,429",43%,48%,9%
30,5/31/99,-0.93%,-0.56%,-0.02%,-0.67%,273,435,1052,434,"86,828","98,760","17,627","205,162",42%,48%,9%
31,6/30/99,-0.15%,-0.17%,-0.99%,-0.19%,283,450,983,440,"83,849","100,170","17,472","202,611",41%,49%,9%
32,7/31/99,0.14%,0.17%,0.79%,0.15%,261,431,946,410,"80,359","101,289","17,018","199,388",40%,51%,9%
33,8/31/99,-0.51%,-1.07%,-2.54%,-1.03%,274,455,1027,433,"81,199","100,569","16,633","199,096",41%,51%,8%
34,9/30/99,0.41%,-0.57%,-3.83%,-0.40%,281,478,1106,449,"86,287","105,951","16,956","210,082",41%,50%,8%
35,10/31/99,-0.47%,-0.33%,-3.39%,-0.58%,300,459,1270,457,"87,280","109,654","17,435","214,910",41%,51%,8%
36,11/30/99,0.70%,1.40%,1.29%,1.14%,292,438,1151,435,"87,025","113,283","16,600","217,906",40%,52%,8%
37,12/31/99,0.53%,0.93%,-1.20%,0.52%,280,410,1185,422,"85,504","113,178","15,859","215,651",40%,52%,7%
38,1/31/00,-0.47%,-0.51%,-0.26%,-0.49%,295,423,1223,434,"84,260","112,538","15,225","213,087",40%,53%,7%
39,2/29/00,0.03%,-0.28%,-1.00%,0.07%,316,467,1191,459,"88,878","114,493","14,678","219,649",40%,52%,7%
40,3/31/00,-0.71%,-2.10%,-0.81%,-1.43%,378,551,1189,540,"90,787","118,124","14,675","225,658",40%,52%,7%
41,4/30/00,-0.42%,0.47%,-0.67%,0.03%,411,552,1203,555,"92,116","116,225","14,644","224,948",41%,52%,7%
42,5/31/00,-0.90%,-0.80%,-2.22%,-1.11%,423,559,1360,581,"92,731","115,325","14,784","224,496",41%,51%,7%
43,6/30/00,2.13%,1.78%,-1.46%,1.71%,423,571,1431,581,"92,952","119,363","15,283","228,941",41%,52%,7%
44,7/31/00,1.06%,0.31%,0.99%,0.72%,421,575,1484,587,"93,525","121,197","15,439","231,716",40%,52%,7%
45,8/31/00,1.40%,1.24%,-0.73%,1.21%,386,622,1491,602,"96,042","124,138","15,238","236,806",41%,52%,6%
46,9/30/00,-0.84%,-0.66%,0.04%,-0.59%,406,673,1587,637,"98,053","122,242","16,060","237,541",41%,51%,7%
47,10/31/00,-1.98%,-3.37%,-5.20%,-2.93%,473,773,1766,735,"97,106","128,644","17,445","244,549",40%,53%,7%
48,11/30/00,0.05%,-5.04%,-6.28%,-3.13%,468,939,2221,855,"94,758","122,979","16,964","236,270",40%,52%,7%
49,12/31/00,1.71%,2.71%,-0.14%,2.17%,494,932,2299,867,"95,014","127,010","17,867","240,864",39%,53%,7%
50,1/31/01,3.95%,7.34%,8.38%,5.96%,427,769,1891,743,"100,000","134,365","25,070","262,138",38%,51%,10%
51,2/28/01,1.62%,1.06%,2.43%,1.58%,425,752,1896,725,"103,562","133,215","26,858","266,642",39%,50%,10%
52,3/31/01,1.06%,-2.85%,-2.74%,-1.32%,431,826,1877,768,"109,751","131,204","22,382","267,543",41%,49%,8%
53,4/30/01,0.61%,-2.09%,-2.54%,-1.09%,435,800,1827,758,"116,138","122,533","25,571","267,761",43%,46%,10%
54,5/31/01,2.03%,1.45%,4.37%,1.92%,370,777,1745,719,"116,475","124,248","26,468","271,438",43%,46%,10%
55,6/30/01,-0.45%,-3.14%,-1.50%,-2.06%,400,776,1862,761,"118,448","115,062","30,075","267,892",44%,43%,11%
56,7/31/01,1.74%,0.99%,0.80%,1.55%,421,804,1917,772,"125,195","116,418","29,762","276,120",45%,42%,11%
57,8/31/01,1.44%,0.78%,1.17%,0.97%,419,727,1951,749,"130,417","110,187","34,679","280,089",47%,39%,12%
58,9/30/01,-5.12%,-6.44%,-12.02%,-6.41%,610,959,2397,961,"127,176","105,207","30,372","267,607",48%,39%,11%
59,10/31/01,2.46%,3.04%,1.47%,2.95%,546,944,2273,910,"129,408","113,899","29,852","278,519",46%,41%,11%
60,11/30/01,2.83%,3.66%,4.89%,3.27%,465,726,1953,792,"129,411","117,517","29,861","284,682",45%,41%,10%
61,12/31/01,-0.57%,-0.47%,0.94%,-0.69%,446,683,1695,775,"132,008","118,694","29,311","290,554",45%,41%,10%
62,1/31/02,0.22%,1.14%,0.17%,0.56%,428,658,1663,740,"137,387","119,628","30,634","298,073",46%,40%,10%
63,2/28/02,-0.15%,-0.61%,-2.66%,-0.96%,483,700,1629,767,"137,566","124,918","28,230","299,449",46%,42%,9%
64,3/31/02,2.13%,2.03%,5.31%,2.38%,369,579,1443,656,"140,050","124,197","30,717","304,107",46%,41%,10%
65,4/30/02,1.72%,0.99%,2.58%,1.59%,393,590,1361,644,"141,286","122,631","37,324","310,504",46%,39%,12%
66,5/31/02,0.18%,-0.05%,-2.14%,-0.54%,451,611,1443,672,"172,393","121,089","32,251","336,079",51%,36%,10%
67,6/30/02,-3.73%,-4.25%,-5.85%,-5.81%,508,858,1655,834,"181,788","150,168","33,318","372,195",49%,40%,9%
68,7/31/02,-3.44%,-3.23%,-1.42%,-3.71%,631,943,1883,935,"163,599","158,491","31,856","360,294",45%,44%,9%
69,8/31/02,1.52%,2.85%,-1.69%,2.27%,639,914,1740,929,"165,796","164,371","28,556","367,559",45%,45%,8%
70,9/30/02,-0.57%,-1.74%,-1.88%,-1.45%,678,981,1904,1002,"161,026","157,890","35,723","363,585",44%,43%,10%
71,10/31/02,-0.87%,-1.02%,-3.69%,-0.99%,695,1036,1999,1033,"162,912","156,329","37,942","366,157",44%,43%,10%
72,11/30/02,3.94%,7.32%,7.01%,5.85%,586,810,1800,861,"173,333","171,421","34,446","397,179",44%,43%,9%
73,12/31/02,1.60%,0.55%,3.23%,1.47%,614,808,1761,869,"185,473","174,244","48,112","417,168",44%,42%,12%
74,1/31/03,1.98%,1.92%,6.05%,2.76%,572,765,1659,814,"190,578","177,040","46,348","426,818",45%,41%,11%
75,2/28/03,0.87%,1.30%,2.21%,1.33%,571,772,1701,825,"177,744","201,722","47,410","439,058",40%,46%,11%
76,3/31/03,1.20%,3.02%,4.10%,2.55%,507,712,1533,761,"178,675","213,933","50,394","455,725",39%,47%,11%
77,4/30/03,3.95%,5.45%,8.65%,5.60%,413,597,1298,634,"190,939","224,488","55,553","485,934",39%,46%,11%
78,5/31/03,1.40%,0.05%,2.51%,1.06%,439,656,1276,669,"192,291","234,689","59,512","500,779",38%,47%,12%
79,6/30/03,2.07%,2.82%,3.95%,2.74%,388,584,1131,604,"203,872","245,748","61,323","530,894",38%,46%,12%
80,7/31/03,-1.82%,-1.05%,0.04%,-1.32%,357,545,1052,555,"199,069","246,236","60,722","522,165",38%,47%,12%
81,8/31/03,0.70%,1.32%,1.53%,1.22%,352,521,1061,537,"200,695","255,838","58,504","531,056",38%,48%,11%
82,9/30/03,2.86%,2.28%,3.72%,2.67%,364,535,1003,540,"211,445","259,118","61,413","548,213",39%,47%,11%
83,10/31/03,1.57%,1.97%,3.21%,2.03%,296,444,891,463,"216,607","260,099","68,285","561,863",39%,46%,12%
84,11/30/03,1.28%,1.24%,1.57%,1.36%,264,421,878,440,"210,419","273,674","70,712","571,136",37%,48%,12%
85,12/31/03,1.65%,2.44%,2.67%,2.30%,258,388,788,411,"209,638","273,590","77,843","577,184",36%,47%,13%
86,1/31/04,1.41%,1.25%,2.95%,1.56%,249,382,730,398,"212,147","278,654","80,622","587,994",36%,47%,14%
87,2/29/04,0.65%,-0.11%,-0.85%,-0.02%,256,411,765,425,"210,638","280,106","84,609","590,881",36%,47%,14%
88,3/31/04,1.17%,0.67%,-0.04%,0.71%,252,423,796,432,"214,045","278,523","84,562","590,955",36%,47%,14%
89,4/30/04,-1.61%,-0.23%,0.40%,-0.72%,224,362,720,385,"209,844","282,350","83,861","589,155",36%,48%,14%
90,5/31/04,-1.63%,-1.60%,-1.40%,-1.61%,261,399,762,422,"206,602","275,360","81,865","576,816",36%,48%,14%
91,6/30/04,1.10%,1.36%,2.27%,1.46%,251,386,730,403,"207,947","278,468","77,613","576,263",36%,48%,13%
92,7/31/04,1.60%,1.52%,0.83%,1.37%,242,382,739,395,"221,093","274,681","75,863","582,865",38%,47%,13%
93,8/31/04,1.92%,1.77%,1.05%,1.81%,253,382,748,400,"237,499","275,821","76,061","601,660",39%,46%,13%
94,9/30/04,1.34%,1.33%,1.55%,1.39%,232,356,730,377,"238,970","274,308","75,423","600,956",40%,46%,13%
95,10/31/04,1.54%,1.94%,2.25%,1.89%,219,330,689,355,"236,427","278,185","77,838","605,815",39%,46%,13%
96,11/30/04,0.23%,0.93%,2.63%,1.01%,191,291,581,309,"248,266","278,025","78,219","620,094",40%,45%,13%
97,12/31/04,1.22%,1.14%,2.34%,1.48%,202,293,569,303,"244,983","278,581","81,761","610,483",40%,46%,13%
98,1/31/05,0.38%,-0.27%,-0.02%,-0.08%,209,314,584,324,"241,251","279,998","80,311","606,561",40%,46%,13%
99,2/28/05,1.13%,1.53%,1.40%,1.40%,175,263,532,278,"246,152","280,066","81,027","611,792",40%,46%,13%
100,3/31/05,-2.92%,-2.48%,-2.64%,-2.71%,236,331,640,348,"245,962","271,255","78,384","600,677",41%,45%,13%
101,4/30/05,-0.02%,-1.06%,-2.63%,-1.04%,271,402,775,413,"244,960","266,888","75,272","591,629",41%,45%,13%
102,5/31/05,1.83%,1.78%,0.62%,1.83%,263,394,756,402,"281,700","270,694","76,651","633,619",44%,43%,12%
103,6/30/05,1.45%,1.60%,2.44%,1.74%,250,352,770,376,"286,374","273,526","76,696","641,086",45%,43%,12%
104,7/31/05,0.81%,1.48%,2.81%,1.41%,207,297,678,324,"284,952","273,807","78,051","641,535",44%,43%,12%
105,8/31/05,0.46%,0.47%,0.95%,0.45%,244,323,685,359,"296,989","261,873","84,879","648,574",46%,40%,13%
106,9/30/05,-0.76%,-0.63%,-2.04%,-0.90%,238,315,683,345,"287,791","257,400","80,828","630,224",46%,41%,13%
107,10/31/05,-0.94%,-0.69%,-1.24%,-0.88%,246,326,717,354,"285,180","249,503","78,430","617,204",46%,40%,13%
108,11/30/05,0.78%,1.08%,0.96%,0.73%,244,329,738,354,"264,641","259,903","76,389","605,417",44%,43%,13%
109,12/31/05,1.01%,0.91%,1.19%,0.97%,231,333,659,345,"277,147","271,125","73,989","626,836",44%,43%,12%
110,1/31/06,0.90%,1.22%,1.57%,1.18%,210,317,649,326,"271,709","270,167","75,335","619,718",44%,44%,12%
111,2/28/06,0.59%,1.04%,1.74%,0.94%,207,305,590,316,"264,694","270,750","76,082","615,035",43%,44%,12%
112,3/31/06,-0.22%,0.68%,1.36%,0.40%,198,278,545,295,"264,199","268,929","77,228","614,095",43%,44%,13%
