Label,Date,JUC1MTR,JUC2MTR,JCCCMTR,JUC0MTR,JUC1OAS,JUC2OAS,JCCCOAS,JUC0OAS,JUC1MV,JUC2MV,JCCCMV,JUC0MV,JUC1MV%,JUC2MV%,JCCCMV%
1,,,,,,186,332,848,277,85117,84638,4850,176575,0.482044423,0.479332988,0.027466215
2,1/31/97,0.00708,0.0085,0.00809,0.0075,182,324,803,277,81131,83787,5839,172539,0.4702185,0.485612335,0.033843726
3,2/28/97,0.01105,0.0157,0.04245,0.01392,161,283,687,248,81534,88052,7834,178447,0.456907773,0.493436825,0.043900999
4,3/31/97,-0.00948,-0.01332,0.00701,-0.01049,159,296,760,253,82867,87276,9521,180050,0.460242826,0.48473011,0.052879813
5,4/30/97,0.01154,0.01072,-0.00888,0.0108,171,316,789,267,88456,83953,9443,182225,0.48542172,0.460712288,0.051819422
6,5/31/97,0.01686,0.02499,0.02432,0.02104,158,276,706,241,87386,84073,10097,181966,0.480235816,0.462025345,0.055485989
7,6/30/97,0.01556,0.01399,0.01599,0.01476,154,273,726,240,85492,84852,10637,181413,0.47125594,0.467729843,0.058632931
8,7/31/97,0.02702,0.02055,-0.00289,0.0229,165,293,757,247,90170,86077,9079,186088,0.484556547,0.46255756,0.048790857
9,8/31/97,-0.00518,0.00307,0.00346,-0.00111,151,276,742,231,87847,82918,8541,180425,0.486889524,0.459571262,0.047336231
10,9/30/97,0.01584,0.01413,0.04815,0.01611,158,281,596,233,89201,83739,8750,182837,0.48787239,0.457996247,0.047857681
11,10/31/97,0.0079,0.00185,0.0067,0.00587,185,312,813,270,90151,86404,9038,186559,0.483228898,0.463143514,0.048444064
12,11/30/97,0.00751,0.01088,0.0203,0.00935,175,294,800,260,92118,88180,10457,191179,0.481843148,0.461240694,0.054696137
13,12/31/97,0.00962,0.00876,0.0006,0.00894,186,296,776,268,94543,88857,11167,194881,0.485130856,0.455957169,0.057302408
14,1/31/98,0.01115,0.01655,0.02432,0.01495,186,310,784,275,94779,95295,11364,201943,0.469334519,0.471891935,0.056274968
15,2/28/98,0.00088,0.008,-0.01375,0.00404,183,286,799,258,101565,95962,11807,209589,0.484592945,0.457857174,0.056334022
16,3/31/98,0.00677,0.00922,0.01994,0.00878,180,282,733,253,105070,97292,12495,215181,0.488284753,0.452141838,0.058068619
17,4/30/98,0.00556,0.00237,0.00686,0.00459,184,287,715,262,94652,99630,11853,206496,0.458370353,0.482480155,0.057398392
18,5/31/98,0.01068,0.00544,-0.00401,0.00721,184,300,711,276,84843,101728,11732,198827,0.42671777,0.511637743,0.059007605
19,6/30/98,0.00718,0.00371,-0.009,0.00482,196,323,656,295,87040,100789,12527,201118,0.432781063,0.501145168,0.062285804
20,7/31/98,0.00551,0.00608,0.00186,0.00566,208,326,670,299,89444,102060,13778,205967,0.434265684,0.495515872,0.066894225
21,8/31/98,-0.02336,-0.05342,-0.09835,-0.04335,311,539,1008,469,87351,98870,12907,199515,0.437818091,0.495552823,0.064690872
22,9/30/98,0.01694,-0.00488,-0.0484,0.0017,347,637,1178,542,91260,98670,13084,203797,0.447800152,0.484158569,0.0642005
23,10/31/98,-0.01453,-0.01786,-0.02535,-0.01665,376,680,1351,592,86645,96639,13762,197714,0.438235229,0.488780107,0.069606606
24,11/30/98,0.02626,0.05867,0.07006,0.04579,326,537,1333,495,88655,103493,14532,207017,0.428251764,0.499925835,0.070196777
25,12/31/98,0.00623,-0.00412,-0.00769,0.00042,328,555,1256,509,85640,101121,15020,202679,0.422539205,0.498923086,0.074106335
26,1/31/99,0.00558,0.00908,0.03133,0.00996,322,549,1229,506,83277,101818,15296,201438,0.413411512,0.505454095,0.075935694
27,2/28/99,-0.0058,-0.00688,-0.01391,-0.00768,286,494,1287,466,84671,100611,16761,203033,0.417028661,0.495539092,0.082553264
28,3/31/99,0.01114,0.00834,-0.01425,0.00852,286,465,1291,466,85666,102024,17787,206380,0.41508996,0.494347151,0.086184803
29,4/30/99,0.01175,0.01516,0.04858,0.01568,272,442,1172,439,89044,100240,18105,208429,0.427216063,0.480930329,0.08686601
30,5/31/99,-0.00932,-0.00564,-0.0002,-0.00668,273,435,1052,434,86828,98760,17627,205162,0.423216269,0.481378365,0.085916091
31,6/30/99,-0.00148,-0.00169,-0.00988,-0.00186,283,450,983,440,83849,100170,17472,202611,0.413843013,0.494393523,0.086234589
32,7/31/99,0.00138,0.00166,0.00787,0.00145,261,431,946,410,80359,101289,17018,199388,0.403028871,0.507998489,0.085350005
33,8/31/99,-0.0051,-0.0107,-0.02535,-0.01031,274,455,1027,433,81199,100569,16633,199096,0.407837511,0.505127695,0.083544565
34,9/30/99,0.00406,-0.00572,-0.03826,-0.00401,281,478,1106,449,86287,105951,16956,210082,0.410730191,0.504329695,0.080709903
35,10/31/99,-0.00473,-0.00331,-0.03391,-0.00577,300,459,1270,457,87280,109654,17435,214910,0.406121374,0.510232791,0.081128728
36,11/30/99,0.00695,0.014,0.01293,0.01144,292,438,1151,435,87025,113283,16600,217906,0.399369222,0.519870351,0.076179129
37,12/31/99,0.00532,0.00934,-0.01196,0.00523,280,410,1185,422,85504,113178,15859,215651,0.396489964,0.5248209,0.073539195
38,1/31/00,-0.00473,-0.00512,-0.0026,-0.00489,295,423,1223,434,84260,112538,15225,213087,0.395426419,0.528129743,0.071450202
39,2/29/00,0.00026,-0.00276,-0.00995,0.00066,316,467,1191,459,88878,114493,14678,219649,0.404638109,0.52125498,0.066826673
40,3/31/00,-0.00712,-0.02096,-0.00814,-0.01426,378,551,1189,540,90787,118124,14675,225658,0.402320993,0.523464163,0.06503115
41,4/30/00,-0.0042,0.0047,-0.00665,0.00027,411,552,1203,555,92116,116225,14644,224948,0.409501212,0.516674961,0.065098868
42,5/31/00,-0.00903,-0.008,-0.02216,-0.01106,423,559,1360,581,92731,115325,14784,224496,0.413063016,0.513705752,0.065852814
43,6/30/00,0.02128,0.01783,-0.01459,0.01708,423,571,1431,581,92952,119363,15283,228941,0.406007962,0.521371156,0.066755593
44,7/31/00,0.01064,0.00309,0.00988,0.0072,421,575,1484,587,93525,121197,15439,231716,0.403618626,0.523040384,0.066627039
45,8/31/00,0.01397,0.01237,-0.00733,0.01208,386,622,1491,602,96042,124138,15238,236806,0.405571372,0.524217002,0.064348827
46,9/30/00,-0.00838,-0.00662,0.00043,-0.0059,406,673,1587,637,98053,122242,16060,237541,0.412781772,0.514612041,0.067607331
47,10/31/00,-0.01981,-0.03374,-0.05202,-0.02934,473,773,1766,735,97106,128644,17445,244549,0.397083252,0.52604667,0.071333488
48,11/30/00,0.00052,-0.05036,-0.06278,-0.03133,468,939,2221,855,94758,122979,16964,236270,0.401057496,0.520501394,0.071799594
